app  | 
app  |   .   ____          _            __ _ _
app  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
app  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
app  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
app  |   '  |____| .__|_| |_|_| |_\__, | / / / /
app  |  =========|_|==============|___/=/_/_/_/
app  | 
app  |  :: Spring Boot ::                (v3.4.1)
app  | 
app  | 2026-01-21T20:15:02.850Z DEBUG 1 --- [e-commerce] [kground-preinit] org.jboss.logging                        : Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
app  | 2026-01-21T20:15:02.860Z DEBUG 1 --- [e-commerce] [kground-preinit] o.h.v.i.xml.config.ValidationXmlParser   : Trying to load META-INF/validation.xml for XML based Validator configuration.
app  | 2026-01-21T20:15:02.861Z DEBUG 1 --- [e-commerce] [kground-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via TCCL
app  | 2026-01-21T20:15:02.862Z DEBUG 1 --- [e-commerce] [kground-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via Hibernate Validator's class loader
app  | 2026-01-21T20:15:02.862Z DEBUG 1 --- [e-commerce] [kground-preinit] o.h.v.i.xml.config.ValidationXmlParser   : No META-INF/validation.xml found. Using annotation based configuration only.
app  | 2026-01-21T20:15:02.869Z DEBUG 1 --- [e-commerce] [kground-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Found jakarta.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
app  | 2026-01-21T20:15:02.870Z DEBUG 1 --- [e-commerce] [kground-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
app  | 2026-01-21T20:15:02.903Z DEBUG 1 --- [e-commerce] [kground-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
app  | 2026-01-21T20:15:02.919Z  INFO 1 --- [e-commerce] [           main] b.d.tec.e_commerce.ECommerceApplication  : Starting ECommerceApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 1 (/app/app.jar started by root in /app)
app  | 2026-01-21T20:15:02.920Z DEBUG 1 --- [e-commerce] [           main] b.d.tec.e_commerce.ECommerceApplication  : Running with Spring Boot v3.4.1, Spring v6.2.1
app  | 2026-01-21T20:15:02.921Z  INFO 1 --- [e-commerce] [           main] b.d.tec.e_commerce.ECommerceApplication  : The following 1 profile is active: "dev"
app  | 2026-01-21T20:15:02.921Z DEBUG 1 --- [e-commerce] [           main] o.s.boot.SpringApplication               : Loading source class br.db.tec.e_commerce.ECommerceApplication
app  | 2026-01-21T20:15:02.965Z DEBUG 1 --- [e-commerce] [           main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@63798ca7
app  | 2026-01-21T20:15:02.979Z DEBUG 1 --- [e-commerce] [kground-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
app  | 2026-01-21T20:15:02.984Z DEBUG 1 --- [e-commerce] [kground-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
app  | 2026-01-21T20:15:02.984Z DEBUG 1 --- [e-commerce] [kground-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
app  | 2026-01-21T20:15:02.984Z DEBUG 1 --- [e-commerce] [kground-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
app  | 2026-01-21T20:15:02.984Z DEBUG 1 --- [e-commerce] [kground-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
app  | 2026-01-21T20:15:02.984Z DEBUG 1 --- [e-commerce] [kground-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
app  | 2026-01-21T20:15:02.986Z DEBUG 1 --- [e-commerce] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
app  | 2026-01-21T20:15:02.998Z DEBUG 1 --- [e-commerce] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
app  | 2026-01-21T20:15:03.051Z DEBUG 1 --- [e-commerce] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/br/db/tec/e_commerce/config/SwaggerConfig.class]
app  | 2026-01-21T20:15:03.088Z DEBUG 1 --- [e-commerce] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/br/db/tec/e_commerce/controller/CartController.class]
app  | 2026-01-21T20:15:03.093Z DEBUG 1 --- [e-commerce] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/br/db/tec/e_commerce/controller/CategoryController.class]
app  | 2026-01-21T20:15:03.096Z DEBUG 1 --- [e-commerce] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/br/db/tec/e_commerce/controller/OrderController.class]
app  | 2026-01-21T20:15:03.096Z DEBUG 1 --- [e-commerce] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/br/db/tec/e_commerce/controller/ProductController.class]
app  | 2026-01-21T20:15:03.097Z DEBUG 1 --- [e-commerce] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/br/db/tec/e_commerce/controller/UserController.class]
app  | 2026-01-21T20:15:03.117Z DEBUG 1 --- [e-commerce] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/br/db/tec/e_commerce/exception/GlobalExceptionHandler.class]
app  | 2026-01-21T20:15:03.118Z DEBUG 1 --- [e-commerce] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/br/db/tec/e_commerce/mapper/cart/CartMapperImpl.class]
